key,pt
WELCOME,Bem-vindo utilizador do fdishinyr!
WELCOME_PARAGRAPH,Este é um exemplo de módulo multilíngue shiny fornecido pela biblioteca fdishinyr
GENERIC_CHART_DOWNLOAD_PNG,Descarregar PNG
GENERIC_CHART_DOWNLOAD_HTML,Descarregar HTML
GENERIC_CHART_TAB_TITLE_PLOT,Gráfico
GENERIC_CHART_TAB_TITLE_STATISTICS,Estatísticas
GENERIC_CHART_NO_DATA,nenhum dado disponível
GENERIC_CHART_PLOT_STYLE_LABEL_LINE,Linha
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_TOTAL,Linha (total)
GENERIC_CHART_PLOT_STYLE_LABEL_LINE_MEAN,Linha (média)
GENERIC_CHART_PLOT_STYLE_LABEL_AREA,Área empilhada
GENERIC_CHART_PLOT_STYLE_LABEL_AREA_PERCENT,Área empilhada (%)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_MEAN,Barras (média)
GENERIC_CHART_PLOT_STYLE_LABEL_BAR,Barras empilhadas
GENERIC_CHART_PLOT_STYLE_LABEL_BAR_PERCENT,Barras empilhadas (%)
GENERIC_CHART_PLOT_STYLE_LABEL_RANK,Classificação (total)
GENERIC_CHART_PLOT_STYLE_LABEL_HEATMAP,Mapa de calor
GENERIC_CHART_PLOT_STYLE_LABEL_BUBBLE,Bolhas
GENERIC_CHART_PLOT_STYLE_LABEL_PIE,Gráfico circular
GENERIC_CHART_PLOT_STYLE_LABEL_DONUT,Donut
GENERIC_CHART_PLOT_STYLE_LABEL_TREEMAP,Treemap
GENERIC_CHART_PLOT_STYLE_LABEL_BOXPLOT,Boxplot
GENERIC_CHART_MESSAGE_STAT,O argumento 'stat' deve ser 'sum' ou 'mean'.
GENERIC_CHART_PLOT_GRANU_LABEL_MONTH,Mês
GENERIC_CHART_PLOT_GRANU_LABEL_YEAR,Ano
GENERIC_CHART_PLOT_ERROR_LABEL_NONE,Nenhum
GENERIC_CHART_PLOT_ERROR_LABEL_SD,Desvio padrão (SD)
GENERIC_CHART_PLOT_ERROR_LABEL_SE,Erro padrão (SE)
GENERIC_CHART_PLOT_ERROR_LABEL_CI95,Intervalo de confiança (IC95%)
GENERIC_CHART_PLOT_STYLE_TITLE,Tipo de gráfico
GENERIC_CHART_PLOT_GRANU_TITLE,Granularidade
GENERIC_CHART_PLOT_ERROR_TITLE,Barras de erro
GENERIC_CHART_PLOT_BUBBLE_NO_DATA,Sem dados
GENERIC_CHART_PLOT_RANK_TITLE,Classificação
